Gene	scL1P0001	scL1P0002	scL1P0003	scL1P0004	scL1P0005	scL1P0006	scL1P0007	scL1P0008	scL1P0009	scL1P0010	scL1P0011	scL1P0012	scL1P0013	scL1P0014	scL1P0015	scL1P0016	scL1P0017
YBR024W	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YBR026C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR028C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR029C	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YBR030W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR031W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR034C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR035C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR036C	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YBR037C	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0
YBR039W	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
YBR040W	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
YBR041W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR042C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR043C	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR044C	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
YBR045C	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
YBR048W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR049C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR054W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR055C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR056W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR057C	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBR058C	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
YBR058C-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBR059C	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR060C	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR061C	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR065C	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR066C	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0
YBR067C	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
YBR068C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR069C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR070C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR072W	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
YBR073W	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
YBR077C	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
YBR078W	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
YBR080C	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR083W	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBR084C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR084W	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
YBR085W	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR092C	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR093C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR095C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
YBR097W	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR101C	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
YBR102C	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0
YBR103W	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBR104W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR106W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR107C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR111C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR111W-A	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR112C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBR114W	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR115C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR117C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR118W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR119W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR121C	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR122C	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBR123C	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR125C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR126C	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
YBR127C	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR128C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR129C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
YBR130C	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0
YBR132C	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
YBR133C	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
YBR135W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YBR140C	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0
YBR142W	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
YBR143C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR148W	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBR149W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR150C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR152W	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR153W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR154C	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR155W	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
YBR156C	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
YBR158W	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
YBR159W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR160W	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0
YBR162W-A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR164C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR166C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR167C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR168W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR169C	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBR170C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR171W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR173C	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0
YBR175W	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR177C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR180W	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
YBR185C	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
YBR186W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR191W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YBR192W	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR195C	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
YBR196C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR198C	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR199W	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR200W	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1
YBR201W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR203W	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YBR204C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR205W	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR207W	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR210W	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YBR211C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR212W	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0
YBR213W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR216C	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBR217W	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR218C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR221C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR222C	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR223C	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR227C	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
YBR228W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR231C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR233W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR233W-A	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR234C	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
YBR235W	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR236C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR237W	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YBR238C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR243C	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR245C	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR247C	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
YBR253W	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
YBR254C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR256C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR257W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR258C	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YBR260C	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
YBR263W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR264C	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
YBR265W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR267W	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR268W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBR274W	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YBR275C	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
YBR278W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR279W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR282W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YBR283C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YBR288C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR289W	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR290W	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
YBR291C	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YBR293W	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
YBR295W	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR296C	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YBR297W	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR298C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR299W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR301W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YCL001W	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YCL004W	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YCL005W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL009C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YCL010C	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YCL011C	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0
YCL014W	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YCL017C	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YCL018W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL024W	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0
YCL025C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL026C-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL027W	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
YCL029C	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
YCL031C	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
YCL032W	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0
YCL035C	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
YCL037C	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
YCL038C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL039W	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YCL040W	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YCL043C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL044C	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YCL048W	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YCL051W	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0
YCL052C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL054W	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YCL055W	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
YCL059C	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YCL061C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL063W	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
YCL064C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCL066W	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
YCL067C	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
