Gene	scL1P0001	scL1P0002	scL1P0003	scL1P0004	scL1P0005	scL1P0006	scL1P0007	scL1P0008	scL1P0009	scL1P0010	scL1P0011	scL1P0012	scL1P0013	scL1P0014	scL1P0015	scL1P0016	scL1P0017
YCR004C	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR008W	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
YCR020W-B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR024C-A	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
YCR027C	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
YCR031C	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
YCR032W	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
YCR042C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR044C	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
YCR052W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR057C	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
YCR063W	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YCR065W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR089W	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
YCR098C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YCR106W	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YDL004W	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
YDL006W	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0
YDL018C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL019C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL022W	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0
YDL029W	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0
YDL030W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDL033C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL036C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL037C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL040C	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
YDL043C	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YDL049C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDL060W	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
YDL066W	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
YDL067C	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
YDL075W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YDL082W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YDL088C	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YDL093W	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDL098C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL100C	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0
YDL106C	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
YDL108W	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDL120W	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
YDL127W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YDL128W	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YDL130W-A	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
YDL133C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YDL155W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YDL181W	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
YDL184C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YDL192W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YDL193W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL194W	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0
YDL207W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL209C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL213C	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YDL227C	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
YDL230W	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0
YDL240W	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
YDR016C	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR038C	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YDR041W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YDR043C	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0
YDR047W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR050C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDR060W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YDR072C	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR073W	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YDR079C-A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR098C	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
YDR099W	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
YDR116C	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
YDR122W	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDR129C	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0
YDR137W	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
YDR143C	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
YDR146C	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YDR147W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR148C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDR159W	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YDR160W	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
YDR170C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
YDR172W	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YDR179C	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
YDR184C	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0
YDR194C	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR195W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR204W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR218C	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
YDR235W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR236C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR244W	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YDR246W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR253C	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR263C	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YDR276C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR279W	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YDR292C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YDR293C	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0
YDR297W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR300C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR310C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR311W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR314C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR315C	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
YDR320C	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR337W	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
YDR345C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR356W	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR363W-A	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
YDR376W	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YDR377W	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
YDR384C	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR390C	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
YDR397C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YDR400W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR408C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR412W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR416W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR420W	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
YDR432W	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YDR434W	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YDR439W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR453C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YDR460W	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDR462W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YDR468C	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YDR469W	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YDR487C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YDR497C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR502C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR503C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR506C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YDR507C	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0
YDR510W	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YDR512C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YDR516C	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YDR524C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
YDR528W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YDR530C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR545W	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
YEL019C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YEL021W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YEL026W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YEL032W	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YEL034W	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
YEL052W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YEL055C	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YER002W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YER017C	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YER019W	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
YER023W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YER043C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER044C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER044C-A	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YER051W	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER056C	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YER058W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER063W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER070W	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER074W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YER078C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER081W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YER086W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER093C	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YER095W	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
YER098W	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER099C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YER100W	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
YER106W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER107C	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YER115C	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
YER136W	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
YER144C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER146W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER149C	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0
YER151C	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YER153C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YER155C	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
YER162C	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YER165W	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
YER173W	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
YER177W	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
YER179W	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YER180C	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YER180C-A	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0
YFL007W	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
YFL010W-A	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL017C	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL020C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YFL025C	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
YFL030W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YFL060C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YFR002W	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YFR014C	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
YFR015C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YFR019W	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
YFR034C	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
YGL005C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL006W	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YGL012W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL021W	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
YGL023C	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
YGL037C	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YGL038C	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YGL056C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL064C	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
YGL087C	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
YGL100W	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0
YGL105W	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
YGL116W	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
YGL123W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YGL126W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL127C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL143C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YGL148W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL155W	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0
YGL163C	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1
YGL170C	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
YGL171W	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YGL172W	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0
YGL178W	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0
YGL183C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL194C	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YGL202W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL205W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YGL206C	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
YGL222C	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YGL225W	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YGL232W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YGL236C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YGL244W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL246C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YGL249W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL253W	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YGR004W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YGR005C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR010W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR020C	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
YGR038W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YGR040W	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0
YGR041W	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YGR046W	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YGR055W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR056W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR062C	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
YGR070W	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0
YGR077C	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
YGR083C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
YGR087C	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YGR088W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YGR090W	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
